word1,word2,count
синий,небо,291
читать,газета,251
лететь,лебедь,227
небо,читать,190
лететь,дракончик,165
лететь,ворона,125
лететь,корова,109
пончик,сколько,101
сколько,пончик,98
съесть,дракончик,98
пончик,съесть,95
голубой,панталоны,37
улица,пушкин,30
пушкин,дом,29
дом,колотушкин,29
панталоны,читать,28
идти,собака,23
идти,крокодил,22
крокодил,трубка,20
трубка,курить,20
жевать,жвачка,19
собачка,жевать,18
колотушкин,квартира,17
лететь,гусь,15
дракончик,кушать,15
кушать,пончик,15
жвачка,жвачка,14
жвачка,упасть,14
сказать,слово,14
идти,собачка,14
ляпнуть,слово,14
упасть,собачка,13
собачка,сказать,13
сказать,цифра,13
курить,трубка,12
трубка,упасть,11
корова,сказать,11
корова,ляпнуть,11
загадать,число,10
слово,сказать,10
любой,например,9
сказать,корова,9
жевать,пончик,7
синий,море,7
написать,слово,7
лететь,котик,7
бежать,собачка,6
дракончик,жевать,6
ворона,читать,6
съесть,корова,6
небо,лететь,6
идти,корова,6
море,читать,5
слово,съесть,5
лимончик,сколько,5
сколько,лимончик,5
лимончик,съесть,5
наркотик,сколько,5
сколько,наркотик,5
наркотик,съесть,5
съесть,котик,5
очень,простой,5
идти,лисичка,5
уметь,считать,4
корова,читать,4
гусь,кричать,4
кричать,жениться,4
лететь,стая,4
нажать,нота,4
белый,небо,3
дракончик,скушать,3
скушать,пончик,3
дракончик,назвать,3
назвать,число,3
небо,сломать,3
сломать,крыло,3
лебедь,читать,3
дракончик,лопать,3
лопать,пончик,3
лететь,дракон,3
пончик,слопать,2
слопать,дракончик,2
лететь,крокодил,2
читать,журнал,2
читать,свой,2
свой,газета,2
например,говорить,2
крыло,загадать,2
лететь,сорока,2
простой,слово,2
слово,ляпнуть,2
ляпнуть,корова,2
сорока,ворона,2
сорока,сорока,2
сколько,дракончик,2
дракончик,съесть,2
съесть,пончик,2
лететь,пончик,2
съесть,дракон,2
ровный,счёт,2
стая,дикий,2
дикий,лебедь,2
буква,широта,2
упасть,собака,1
собака,сказать,1
жевать,жевачка,1
выйти,месяц,1
давать,сыграть,1
давать,поговорить,1
гном,звать,1
крокодил,читать,1
лететь,аист,1
лететь,голубь,1
кричать,вернуться,1
вернуться,кричать,1
кричать,сколько,1
гусь,сказать,1
сказать,жениться,1
число,жениться,1
жениться,гусь,1
пончик,пончик,1
пончик,скушать,1
скушать,дракончик,1
лететь,журавль,1
лебедь,кричать,1
лебедь,лететь,1
лететь,серый,1
лебедь,пара,1
небо,загадать,1
загадать,желание,1
любой,назвать,1
небо,кричать,1
кричать,число,1
крыло,сказать,1
сказать,число,1
небо,уронить,1
уронить,перо,1
перо,загадать,1
газета,номер,1
читать,плейбой,1
лебедь,считать,1
считать,девять,1
небо,дракончик,1
большой,панталоны,1
панталоны,держать,1
держать,газета,1
золотой,панталоны,1
ворона,сказать,1
сказать,ворона,1
газета,газета,1
синий,панталоны,1
панталоны,загадать,1
корова,вякнуть,1
вякнуть,слово,1
корова,жевать,1
жевать,слово,1
слово,жевать,1
жевать,корова,1
белый,свет,1
свет,читать,1
небо,жевать,1
небо,ляпнуть,1
корова,промолвить,1
промолвить,слово,1
корова,украсть,1
украсть,слово,1
слово,украсть,1
украсть,корова,1
любой,сколько,1
слово,буква,1
лететь,лебёдушка,1
лететь,собака,1
стая,сорок,1
ещё,сорок,1
сорок,сколько,1
сколько,сорок,1
сорок,лететь,1
дракончик,сколько,1
пончик,жевать,1
жевать,дракончик,1
дракончик,собирать,1
собирать,пончик,1
батон,сколько,1
сколько,батон,1
батон,съесть,1
котик,принимать,1
принимать,наркотик,1
котик,употреблять,1
употреблять,наркотик,1
лететь,утка,1
золотой,крыльцо,1
крыльцо,сидеть,1
сидеть,царь,1
царь,царевич,1
царевич,король,1
король,королевич,1
королевич,сапожник,1
сапожник,портной,1
выбирать,скорый,1
задерживать,честный,1
добрый,человек,1
лететь,дурак,1
обезьяна,чичичи,1
плюнуть,слово,1
слово,это,1
это,слово,1
хотеть,затронуть,1
затронуть,тема,1
слон,лететь,1
небо,считать,1
считать,число,1
танцевать,балерина,1
большой,театр,1
театр,упасть,1
упасть,сказать,1
колотушкин,номер,1
номер,дом,1
дом,сказать,1
дом,покатушкин,1
покатушкин,квартира,1
представить,презентация,1
презентация,проект,1
шëл,крокодил,1
трубка,пропасть,1
идти,ворона,1
слово,далёкий,1
корова,съесть,1
съесть,слово,1
идти,кошка,1
идти,машина,1
машина,тёмный,1
тёмный,лес,1
какой-то,интерес,1
интерес,интеинтеинтерес,1
интеинтеинтерес,выходить,1
нехороший,выходить,1
широта,буква,1
широта,уйти,1
кино,выходить,1
собака,жевать,1
жевать,жевака,1
жевака,жевать,1
жевать,собака,1
нажать,цифра,1
рояль,жевать,1
идти,почтальон,1
почтальон,нести,1
нести,почта,1
дом,номер,1
